City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
1,Atuona,PF,-9.8,-139.0333,78.854,78,26,7.61,scattered clouds,Villa Enata
3,Butaritari,KI,3.0707,172.7902,79.628,80,76,2.59,light rain,Isles Sunset Lodge
6,Puerto Ayora,EC,-0.7393,-90.3518,80.564,91,100,1.34,overcast clouds,Finch Bay Galapagos Hotel
11,Lakota,CI,5.8528,-5.6883,87.944,57,87,1.95,overcast clouds,Aziz bah divers
13,Mount Isa,AU,-20.7333,139.5,83.966,26,12,2.57,light rain,ibis Styles Mt Isa Verona
16,Rikitea,PF,-23.1203,-134.9692,78.908,73,2,8.9,clear sky,People ThankYou
24,Saldanha,ZA,-33.0117,17.9442,84.254,53,0,4.74,clear sky,Club Mykonos Resort
26,Olinda,BR,-8.0089,-34.8553,85.73,62,40,3.09,scattered clouds,Recife Plaza Hotel
32,Castro,BR,-24.7911,-50.0119,77.054,56,59,3.0,moderate rain,L'acqua Motel Express
35,Komsomolskiy,UZ,40.4272,71.7189,77.72,33,88,1.03,overcast clouds,Grand Osiyo Plaza
40,Amboasary,MG,-25.0333,46.3833,75.056,79,50,6.41,scattered clouds,Le Bon Samaritain
41,Cape Town,ZA,-33.9258,18.4232,82.814,32,0,5.66,clear sky,"Radisson Blu Hotel Waterfront, Cape Town"
54,Camapua,BR,-19.5314,-54.0439,88.538,49,0,4.17,clear sky,Comercial Estrela
59,Isangel,VU,-19.55,169.2667,79.106,79,14,3.02,few clouds,Tanna Lodge
64,San Andres,CO,12.5847,-81.7006,84.218,70,40,6.17,scattered clouds,Hotel Arena Blanca
68,Kohat,PK,33.582,71.4493,87.872,14,2,2.12,clear sky,Millennium Guest House & Restaurant
69,Hithadhoo,MV,-0.6,73.0833,84.47,65,23,5.52,few clouds,"Shangri-La's Villingili Resort & Spa, Maldives"
71,Porto Novo,BJ,6.4965,2.6036,89.42,55,94,4.84,overcast clouds,Tour Eiffel Hotel Benin
72,Omboue,GA,-1.5746,9.2618,83.606,73,32,4.85,scattered clouds,Hotel Olako
