City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.658,93,100,6.17,light intensity drizzle
1,Atuona,PF,-9.8,-139.0333,78.854,78,26,7.61,scattered clouds
2,Ferme-Neuve,CA,46.7001,-75.4493,41.288,59,49,1.97,scattered clouds
3,Butaritari,KI,3.0707,172.7902,79.628,80,76,2.59,light rain
4,Jamestown,US,42.097,-79.2353,47.948,41,100,1.34,overcast clouds
5,Tasiilaq,GL,65.6145,-37.6368,30.362,67,58,1.9,broken clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,80.564,91,100,1.34,overcast clouds
7,Rio Gallegos,AR,-51.6226,-69.2181,50.054,71,75,3.6,broken clouds
8,Gold Coast,AU,-28,153.4333,71.042,94,40,0,scattered clouds
9,East London,ZA,-33.0153,27.9116,68.936,88,0,5.66,clear sky
10,Mataura,NZ,-46.1927,168.8643,50.486,99,100,2.01,moderate rain
11,Lakota,CI,5.8528,-5.6883,87.944,57,87,1.95,overcast clouds
12,Chokurdakh,RU,70.6333,147.9167,-3.118,95,100,3.27,overcast clouds
13,Mount Isa,AU,-20.7333,139.5,83.966,26,12,2.57,light rain
14,Hobart,AU,-42.8794,147.3294,52.232,69,29,5.66,scattered clouds
15,Ladybrand,ZA,-29.1945,27.4574,57.488,75,100,3.89,light rain
16,Rikitea,PF,-23.1203,-134.9692,78.908,73,2,8.9,clear sky
17,Jizan,SA,17.3333,42.6667,90.536,34,0,3.8,clear sky
18,Port Lincoln,AU,-34.7333,135.8667,62.474,74,100,6.47,overcast clouds
19,San Juan,AR,-31.5375,-68.5364,61.682,36,0,3.8,clear sky
20,Ketchikan,US,55.3422,-131.6461,37.868,70,100,5.14,overcast clouds
21,Nanortalik,GL,60.1432,-45.2371,34.88,54,89,2.8,overcast clouds
22,Roald,NO,62.5833,6.1333,41.324,87,75,6.17,broken clouds
23,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,4.12,broken clouds
24,Saldanha,ZA,-33.0117,17.9442,84.254,53,0,4.74,clear sky
25,San Pablo,PH,14.0669,121.3258,74.894,94,100,0.09,overcast clouds
26,Olinda,BR,-8.0089,-34.8553,85.73,62,40,3.09,scattered clouds
27,Port Macquarie,AU,-31.4333,152.9167,64.886,91,18,3.56,few clouds
28,Albany,US,42.6001,-73.9662,46.76,50,0,1.56,clear sky
29,Burnie,AU,-41.0667,145.9167,47.912,70,3,4.31,clear sky
